action,id_i,id_j,cap,cost
prune,1139,,0.03329022067768179,0.07521282059281972
prune,2084,,0.07565565827997164,0.170883207186499
prune,1611,,0.08492929853926885,0.19177906507328532
prune,1707,,0.09084370189700348,0.20508127864964693
prune,155,,0.11207649552679876,0.25295310120062436
prune,569,,0.1226243443441628,0.27669401370546326
prune,33,,0.1228719721601894,0.27718742877531344
prune,2809,,0.1264537180072156,0.28520099867074483
prune,2064,,0.15389861503276006,0.3470256828887149
prune,1905,,0.15643082114481158,0.3526610261211296
prune,655,,0.1659227033007672,0.3739832800995245
prune,2895,,0.17228697842683469,0.38825052405629956
prune,2911,,0.17334549042324088,0.39055811681526487
prune,625,,0.17463660688343832,0.39338908162973485
prune,2330,,0.17549711429881548,0.39524931926380913
prune,9,,0.18157738694638587,0.408864074349641
prune,2965,,0.18272145306292498,0.4113609828919049
prune,2992,,0.18277426508733555,0.4114006257739367
prune,1342,,0.18590049756193297,0.4183576939744003
prune,11,,0.1870296417321243,0.42081894176720436
prune,677,,0.18867704662252163,0.42444559060383014
prune,2224,,0.18941940734067997,0.4260354601958411
prune,1343,,0.1899773219227586,0.42721008321992654
prune,2434,,0.19130482631793763,0.43011491786455824
prune,2443,,0.19207667455033464,0.4317697992537268
prune,1874,,0.19406142314903163,0.4361506238563715
prune,548,,0.19439075856843696,0.4368100487143145
prune,60,,0.1952829649605786,0.4387340433255146
prune,1992,,0.19725324030724722,0.4430795256636812
prune,2968,,0.1986249683134205,0.44607957734272713
prune,1074,,0.1996626205239728,0.4483286833975472
prune,639,,0.2007022145909218,0.45058162572485627
prune,1949,,0.20097079120349262,0.4511031488404323
prune,586,,0.20114678147343015,0.45141670508205145
prune,2902,,0.20186149109370732,0.45293911760553235
prune,2360,,0.20268783882170682,0.4547116555626442
prune,2738,,0.20382106072378234,0.45717220667913044
prune,2988,,0.20389710868335414,0.45726102468402385
prune,912,,0.20464187450748159,0.4588494125550712
prune,1099,,0.20498945143036235,0.4595468772270116
prune,1055,,0.20500219300894357,0.4594935411307431
prune,1142,,0.2057351011818258,0.4610543191783469
prune,2029,,0.20653714773216506,0.4627696748651965
prune,91,,0.20663307749332233,0.4629025476686059
prune,312,,0.20666068878904248,0.4628823077075852
prune,2052,,0.208196017370447,0.4662389633146863
prune,23,,0.20874556595026209,0.46738738194903606
prune,2277,,0.2098758432326636,0.46983577454205994
prune,538,,0.2104756333956191,0.4710961039847817
prune,2528,,0.21166980324969284,0.47368649174598115
prune,2749,,0.21250194577841622,0.4754661921967267
prune,75,,0.21275301085120008,0.47594539261570074
prune,1948,,0.21394207677768912,0.4785228119594193
prune,999,,0.21488396133324658,0.48054684847379026
prune,2840,,0.2149127654915006,0.4805285659372011
prune,2771,,0.215097902802715,0.48085978969794146
prune,1461,,0.215170059878295,0.48093834209077263
prune,2778,,0.21527128205615723,0.48108180247986804
prune,1530,,0.21578112351789827,0.4821383537329698
prune,1690,,0.215932083968245,0.48239280004986257
prune,1467,,0.2160897233729326,0.4826620786192999
prune,1710,,0.217433826377772,0.4855813459509647
prune,2337,,0.2176084976272342,0.4858884513864291
prune,972,,0.21828925770365115,0.48732547339631804
prune,2418,,0.218845235297708,0.48848362576708243
prune,744,,0.21899104135407946,0.48872599534764455
prune,992,,0.2190240422983166,0.4887165329777872
prune,170,,0.21917467540756314,0.48896950560808605
prune,2551,,0.21924406846414507,0.4890411497542785
prune,2208,,0.22015426064881907,0.49098819562180485
prune,854,,0.22075334164515256,0.49224102239351153
prune,2198,,0.221191806590388,0.4931354457204147
prune,692,,0.22141796204464453,0.4935563415686213
prune,2977,,0.22148327329204368,0.49361859114586404
prune,117,,0.22196813794944828,0.49461584092186656
prune,2283,,0.22223057332810772,0.49511723567031746
prune,1409,,0.22263006317204945,0.49592385136724926
prune,788,,0.2226652523328087,0.49591878458034555
prune,2458,,0.22296834202610147,0.49651034180046555
prune,2268,,0.22315067534037694,0.496832854235272
prune,1903,,0.22341614427222403,0.4973403664890886
prune,2621,,0.22352851553275693,0.49750694486997654
prune,980,,0.22387854178914599,0.49820240053924114
prune,1685,,0.2243338132696541,0.49913190151517023
prune,1634,,0.22568138182984274,0.5020465239396421
prune,313,,0.22585294380250928,0.5023444973490498
prune,2735,,0.22609155611834425,0.5027915140351543
prune,2747,,0.22621408586434563,0.502980265613591
prune,2400,,0.22624122872063812,0.5029568538315973
prune,714,,0.22666952810655036,0.5038252169656571
prune,1209,,0.227145723830523,0.504799857169199
prune,1706,,0.2276544425727045,0.5058465752127869
prune,2503,,0.22767792877977497,0.5058148943647195
prune,1318,,0.22769136928889955,0.505760858735904
prune,1803,,0.22779688348427485,0.5059113098252884
prune,928,,0.227934386744281,0.5061327388803337
prune,490,,0.2280444846652064,0.5062932356735328
prune,666,,0.22808130506515484,0.5062909765144037
prune,1858,,0.2284022997562445,0.5069194835875891
prune,217,,0.22901969457359175,0.5082056857601891
prune,1045,,0.22903683827367563,0.5081596467929543
prune,1921,,0.22911336975753385,0.5082453362501659
prune,2973,,0.2294980589048045,0.5090145641674613
prune,1052,,0.22984051015533144,0.5096899455773113
prune,1731,,0.23074810992310682,0.5116184497516956
prune,2556,,0.2307741876151948,0.5115920692464976
prune,767,,0.23095493172632,0.5119085258186518
prune,1791,,0.2311648390536315,0.5122895310733302
prune,2704,,0.23151851015800654,0.5129890354861868
prune,254,,0.23177703967704438,0.5134775763535457
prune,2649,,0.23195042457339646,0.5137773685767557
prune,1898,,0.23237377795241093,0.5146307654293993
prune,2362,,0.23266672170710623,0.5151951718121287
prune,1295,,0.2330765548632691,0.5160182809984812
prune,360,,0.23322121651917474,0.5162541411880432
prune,1415,,0.2335810846351546,0.5169663055084023
prune,560,,0.2339647574254484,0.5177310051634494
prune,2545,,0.23415366605728805,0.5180645561923414
prune,2351,,0.23416963893360873,0.5180153898315748
prune,2622,,0.23442442773874925,0.5184944886515063
prune,684,,0.2344695329360634,0.5185096938415064
prune,1484,,0.23451474040527417,0.5185250804755205
prune,1004,,0.2349131250305134,0.5193213266260174
prune,1449,,0.23509637795624888,0.5196418142329803
prune,2829,,0.23528651886510865,0.5199774364427711
prune,705,,0.2353664701930302,0.52006944650355
prune,2940,,0.2356742858568346,0.5206648999220124
prune,1446,,0.23569417971559853,0.5206241203228074
prune,388,,0.2357829878230812,0.52073553082822
prune,1512,,0.23597830604134656,0.5210821171047118
prune,1623,,0.23606231370080033,0.5211828123114843
prune,541,,0.23617580485633555,0.5213485451235851
prune,1181,,0.2367414778504148,0.5225123988480944
prune,800,,0.23675353322733106,0.5224541299772901
prune,1957,,0.2368770893581912,0.5226418842616695
prune,2459,,0.23711193967949484,0.5230751298644368
prune,2607,,0.23725019032917885,0.5232951645158288
prune,1819,,0.23758566182781532,0.5239501350120339
prune,2600,,0.23758567253580246,0.5238651600149064
prune,1329,,0.23811157682303247,0.5249397443930369
prune,2958,,0.23821938032448087,0.5250923714647635
prune,693,,0.23835999283884624,0.5253172538156569
prune,438,,0.2389318389397336,0.5264924656323621
prune,2447,,0.2391595891008645,0.5269092281468516
prune,2513,,0.23934421352433996,0.5272308731989253
prune,750,,0.23941777203940423,0.5273077673780272
prune,1101,,0.2394594160418732,0.5273143160301048
prune,2828,,0.23952882879750598,0.527381971680985
prune,1366,,0.2400142593373449,0.5283655583549959
prune,1989,,0.2400951620855197,0.5284584209629081
prune,787,,0.24042747152524405,0.5291045939503308
prune,1557,,0.24077226265450663,0.5297781017574426
prune,1833,,0.2409292408057177,0.5300382133258553
prune,1062,,0.24093437193662298,0.5299641789943035
prune,1064,,0.2412216051920143,0.5305106425607207
prune,838,,0.2412558727795108,0.5305006360792738
prune,1952,,0.2415849066196578,0.5311387670035516
prune,1059,,0.24161038038070637,0.5311093568537957
prune,782,,0.24201436364025705,0.5319119675721862
prune,1714,,0.24246207652268276,0.5328105376346188
prune,2983,,0.2424675571133879,0.5327371132583599
prune,2668,,0.2425349928562092,0.5327997836476314
prune,841,,0.24257565905692482,0.5328035937665455
prune,1515,,0.24278286963345236,0.5331731737628475
prune,310,,0.24298188759041647,0.5335246676709771
prune,1837,,0.243022233540071,0.5335276599094578
prune,1068,,0.24371697399902428,0.5349672911367909
prune,2945,,0.24374480644746316,0.5349427618914457
prune,20,,0.24374800531800242,0.5348641285853695
prune,580,,0.24390406017478494,0.5351208876842364
prune,1416,,0.24526750075308848,0.5380266171620064
prune,2289,,0.24540318695299007,0.5382386054825788
prune,2797,,0.24544131712861944,0.5382365488998739
prune,1399,,0.2455986191066566,0.5384957921897038
prune,1867,,0.2455991161990121,0.5384111407610184
prune,2386,,0.24662922262450268,0.5405836651575631
prune,2540,,0.24675013074100552,0.5407629460282378
